,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
48,"Boxing Match; or, Glove Contest",1896,N/A,01 Jan 1896,N/A,"Short, Sport",Birt Acres,N/A,N/A,"Stage boxing match between Sergeant-Instructor Barrett and Sergeant Pope, with a round, interval, and knockout.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNjQ0YzQwYjctMTljYi00MzhmLTliMGUtMTY2NzE3MjgzYzYzXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,43,tt0000049,movie,N/A,N/A,N/A,N/A,True,
49,Bébé et fillettes,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,Georgette Méliès,"Little is known about this lost film, which presumably features young baby girls.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYjBjMDRjYmEtODFiNy00NjJhLTk0ZjktMDQ3NmVkNDRmMzc2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,30,tt0000050,movie,N/A,N/A,N/A,N/A,True,
50,Campement de bohémiens,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,Very little is known of this lost film; according to the title it featured a gypsy camp.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTE5ZGFjNWMtYzE2NC00ZGMzLTk3N2YtMzJhNjFiMmY1NmU1XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,31,tt0000051,movie,N/A,N/A,N/A,N/A,True,
51,Carga de rurales,1896,N/A,N/A,1 min,"Documentary, Short",Gabriel Veyre,N/A,N/A,N/A,None,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BMzAwYjlhYWEtNjcwOC00MmE4LWE4ZTAtZGVmMjNmOWMwYmYxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,84,tt0000052,movie,N/A,N/A,N/A,N/A,True,
52,A Chegada do Comboio Inaugural à Estação Central do Porto,1897,N/A,07 Feb 1897,N/A,"Documentary, Short",Francisco Pinto Moreira,N/A,N/A,N/A,None,Portugal,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}]",N/A,2.8,8,tt0000053,movie,N/A,N/A,N/A,N/A,True,
53,Les chevaux de bois,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,"Very little is known of this lost Georges Melies film, but the title indicates it may have featured children riding a merry-go-round.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTdmZTMyMjEtODI3YS00ZWJlLWEwMWItYzFlYTc4OTc5MWZiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,29,tt0000054,movie,N/A,N/A,N/A,N/A,True,
54,Le chiffonnier,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGYzOWFiZDQtNDllNS00NWZmLTljMjEtNDgxMzJkYzczYzY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,27,tt0000055,movie,N/A,N/A,N/A,N/A,True,
55,Uma Corrida de Touros no Campo Pequeno,1896,N/A,N/A,N/A,Short,Henry Short,N/A,N/A,N/A,None,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,11,tt0000056,movie,N/A,N/A,N/A,N/A,True,
56,The Czar and His Cortege Going to Versailles,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,"Tsar Nicholas II, Tsarina Alexandra",N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BOGQ2YTdhMjYtZTI5OS00MDljLWE0NDYtMmNjZjNiNjQ3N2I5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,13,tt0000057,movie,N/A,N/A,N/A,N/A,True,
57,The Czar's Cortege in the Bois de Boulogne,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,Tsar Nicholas II,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNjcwNjY4NDgtODY3Yi00MmQ0LTk4YzktNWJkNTk0ZmEyMDMxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,12,tt0000058,movie,N/A,N/A,N/A,N/A,True,
58,Coronation of a Village Maiden,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,"Little is known about this lost film, which presumably features a coronation of the rosary, or a celebration of the Coronation of the Virgin Mary.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNjYxYjgxNWYtMWZiOC00YTJlLThhMzItMTVlZDZlZTM4ZDA4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,12,tt0000059,movie,N/A,N/A,N/A,N/A,True,
59,Dancing Darkies,1896,N/A,12 Sep 1896,N/A,"Documentary, Short",William K.L. Dickson,N/A,N/A,"""A company of little darkies showing off their paces to the music of the banjo.""",None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,82,tt0000060,movie,N/A,N/A,N/A,N/A,True,
60,Dancing Girls,1896,N/A,01 Mar 1896,N/A,Short,Birt Acres,N/A,Alhambra Girls,N/A,None,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,22,tt0000061,movie,N/A,N/A,N/A,N/A,True,
61,Danse serpentine,1896,N/A,25 Nov 1896,1 min,Short,Georges Méliès,N/A,N/A,"This lost film is speculated to have featured a serpentine dance, possibly in an imitation of the Edison Studios' ""Annabelle"" films, except with a different dancer.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMjdhODcyMDQtOGQzYy00YTk5LTlmMTAtYjE2NjkyYTZlZDc1XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,162,tt0000062,movie,N/A,N/A,N/A,N/A,True,
62,Dessinateur express,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,Georges Méliès,This lost film featured a talented sketch artist drawing the statesman and historian Adolphe Thiers with stunning rapidity.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNmQxNzJkNjctNDdhZi00NjliLTg0NTgtMmY4ODkzYmM3NTg4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,23,tt0000063,movie,N/A,N/A,N/A,N/A,True,
63,Dessinateur: Chamberlain,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,Georges Méliès,This lost film featured a talented sketch artist drawing the statesman and Liberal Unionist Joseph Chamberlain with stunning rapidity.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYjRiMWQ2ZTItNmY4MS00NzM0LTk1NmUtZTI4ODJmYzQwYjE4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,11,tt0000064,movie,N/A,N/A,N/A,N/A,True,
64,Dessinateur: Reine Victoria,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,Georges Méliès,This lost film featured a talented sketch artist drawing Her Majesty H. M. Queen Victoria with stunning rapidity.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMTViMjU5NGUtNDM3Yy00ZGQ3LTk3YTktMWJmYWFmMjVjNTViXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,11,tt0000065,movie,N/A,N/A,N/A,N/A,True,
65,Dessinateur: Von Bismark,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,Georges Méliès,This lost film featured a talented sketch artist drawing the Prussian statesman Otto Von Bismark with stunning rapidity.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZGUxMmJiZjEtMDdkNC00MGMzLWI3MTItOTJiYmNhOGM0Mjk5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}]",N/A,3.4,11,tt0000066,movie,N/A,N/A,N/A,N/A,True,
66,Dix chapeaux en 60 secondes,1896,N/A,N/A,N/A,"Short, Fantasy",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZjIwN2UwODctZDY3OC00OGYxLWIxZWQtYmVhMzBjZGFiM2QyXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,52,tt0000067,movie,N/A,N/A,N/A,N/A,True,
67,Unloading the Boat,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BM2NjNDgwOTgtYTFjYS00ZDljLTgwNDktNjNmNzA3NWVkMzE5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,11,tt0000068,movie,N/A,N/A,N/A,N/A,True,
68,Défense d'afficher,1896,Not Rated,N/A,1 min,Short,Georges Méliès,N/A,N/A,Two bill posters argue as an incompetent guard patrols the area.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMTUxZmQzZjAtODM3NC00YWUyLWE2NmEtODAxODZmOGEzYzQwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,408,tt0000069,movie,N/A,N/A,N/A,N/A,True,
69,Démolition d'un mur,1896,Not Rated,06 Mar 1896,1 min,"Documentary, Short",Louis Lumière,N/A,Auguste Lumière,"Auguste Lumière directs four workers in the demolition of an old wall at the Lumière factory. One worker is pressing the wall inwards with a jackscrew, while another is pushing it with a pick. When the wall hits the ground, a cloud o",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGViNzJkZWYtYzYxNi00YTU3LTg4MWMtOGJmM2RmMGY2ZTU1XkEyXkFqcGdeQXVyNzQzNzQxNzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"2,489",tt0000070,movie,N/A,N/A,N/A,N/A,True,
70,Automobiles Starting a Race,1896,N/A,N/A,N/A,"Short, Sport",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMGEwNGFmZmQtYTQxYS00N2M0LWI1MmQtMTg1OGY3ZmQ1NDM0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.5/10'}]",N/A,3.5,13,tt0000071,movie,N/A,N/A,N/A,N/A,True,
71,Officers of French Army Leaving Service,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMzY1NDY3YjAtN2U0OS00NTdmLThmYjAtNzgwZGUxMDQzMzU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,12,tt0000072,movie,N/A,N/A,N/A,N/A,True,
72,Sea Breaking on the Rocks,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,"Very little is known about this lost film, but according to the title it possibly featured large waves crashing against jagged, black rocks on a coast.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BYjFjODlhY2MtZWVhMy00NzYwLWFmZWEtYTU0OGViMDRjMmYwXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,11,tt0000073,movie,N/A,N/A,N/A,N/A,True,
73,Enfants jouant sur la plage,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNTYyNzdiYWQtYjNjNi00NmU0LWI5MDktY2NjMjA4NDQyNjk0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,28,tt0000074,movie,N/A,N/A,N/A,N/A,True,
74,Escamotage d'une dame au théâtre Robert Houdin,1896,N/A,01 Oct 1896,1 min,"Short, Horror",Georges Méliès,N/A,"Jehanne d'Alcy, Georges Méliès","As an elegant maestro of mirage and delusion drapes his beautiful female assistant with a gauzy textile, much to our amazement, the lady vanishes into thin air.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNGRhNTcxMDMtYTMyMi00ZTIxLThiOWUtMTgwZDA2Njk4YTFjXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"1,757",tt0000075,movie,N/A,N/A,N/A,N/A,True,
75,Exit of Rip and the Dwarf,1896,Not Rated,01 Sep 1896,1 min,"Drama, Short",William K.L. Dickson,Washington Irving,Joseph Jefferson,A series of short black and white films from director William K.L. Dickson which chronicle the adventures of Rip Van Winkle.,None,United States,1 win,https://m.media-amazon.com/images/M/MV5BZGZkYTJhZmQtNTY0NC00OWI2LWIwODUtNTM2ZGQzZmE0ZjgxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDE4OTY5NzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,503,tt0000076,movie,N/A,N/A,N/A,N/A,True,
76,"Le fakir, mystère indien",1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BOGY0ZWRhYWYtYzMxYy00MmUyLTkxNmQtZjZhYWRhNDdlNzQ4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,17,tt0000077,movie,N/A,N/A,N/A,N/A,True,
77,Feira de Gado na Corujeira,1896,N/A,N/A,1 min,"Documentary, Short",Aurélio da Paz dos Reis,N/A,N/A,"Campinos on horseback drive small herds of cattle through the vast area of the traditional fair, before prospective buyers.",None,Portugal,N/A,https://m.media-amazon.com/images/M/MV5BMDEzMDU1NTMtOWEwYi00MGMxLTkzYzItYzdiYTcwNTdkNzhlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,67,tt0000078,movie,N/A,N/A,N/A,N/A,True,
78,La gare Saint-Lazare,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BOTUyYjgzNWYtOGY0OC00N2M5LWE3YTQtMjZlZGM4ZTg5M2I4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,16,tt0000079,movie,N/A,N/A,N/A,N/A,True,
79,Manoeuvres of the French Army,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,another wonderful creation from the magic of Georges Méliès.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZmFlZWZkZTUtMGZkZS00NjlkLWIxNGMtZWI2OWZhZmI3OTY0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",N/A,4.1,12,tt0000080,movie,N/A,N/A,N/A,N/A,True,
80,Les haleurs de bateaux,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BM2ZlYjA4NmItZTYxYy00MGFiLTg3MWUtNzZmYjE1ODZmMThjXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,29,tt0000081,movie,N/A,N/A,N/A,N/A,True,
81,A Hard Wash,1896,N/A,12 Sep 1896,N/A,"Comedy, Short",William K.L. Dickson,N/A,N/A,"""A colored woman washing a little pickaninny. Very funny, and especially pleasing to children.""",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDlkNzgyZjgtNGNkZS00YjU1LTgwNGQtZmE1MDNkODk3NDg2XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,24,tt0000082,movie,N/A,N/A,N/A,N/A,True,
82,The Peeping Toms,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTI1MmZjNzUtMzNhNy00ZmFjLTg4ZjMtY2Q5ZDZjN2JkYTRkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,18,tt0000083,movie,N/A,N/A,N/A,N/A,True,
83,Les ivrognes,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BODE1YTc5OTgtNmU0Mi00YjlkLWExYmEtZmMwOWUwYWQyOTJiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,27,tt0000084,movie,N/A,N/A,N/A,N/A,True,
84,Jardinier brûlant des herbes,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,"Little is known about this lost film, which presumably features a gardener.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNWQwODg2MjgtZTNiNy00MTY3LTg1NzItODdkZGE5Njk4Mzg2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,19,tt0000085,movie,N/A,N/A,N/A,N/A,True,
85,"Beach and Pier at Trouville, 1st part",1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNzdmZjgzMmQtNWNmYS00NTIzLTkxYjctNmUxYmJlMDAzZDk4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,13,tt0000086,movie,N/A,N/A,N/A,N/A,True,
86,"Beach and Pier at Trouville, 2nd part",1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMzc0NzBiODgtZjM2NS00M2JlLWIyODItMmEwYzRlMTc0NjkxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,17,tt0000087,movie,N/A,N/A,N/A,N/A,True,
87,Market Day,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNzk2YWYyYTMtMTNjNC00ZDExLWI4NzItNmI5MDM1Y2UyNTVmXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,14,tt0000088,movie,N/A,N/A,N/A,N/A,True,
88,Départ de Jérusalem en chemin de fer,1897,N/A,N/A,1 min,"Documentary, Short","Auguste Lumière, Alexandre Promio",N/A,N/A,"A train is leaving a railway station at the outskirts of Jerusalem. From the very end of the train a barren, rocky landscape is seen, and some ruins of very old buildings,. Five men walk along the track, tipping their hats when the t",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMDU2YjNjMzAtNzZmMi00MWNiLTlkNjEtYzA3ZTcwYmJiOTBkXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,920,tt0000089,movie,N/A,N/A,N/A,N/A,True,
89,Libération des territoriaux,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMWU0ZTgwZDUtYzNlZS00YWU5LWI0YjQtOTc4YzEzNTc5YjQ5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",N/A,4.0,28,tt0000090,movie,N/A,N/A,N/A,N/A,True,
90,Le manoir du diable,1896,Not Rated,24 Dec 1896,3 min,"Short, Horror",Georges Méliès,Georges Méliès,"Jehanne d'Alcy, Jules-Eugène Legris, Georges Méliès","With the help of a magic cauldron, Mephistopheles conjures up a variety of supernatural characters.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BY2RkZDBmNjEtYzdhMC00ODg4LWEwN2EtMmJlMTM4MGQwMGQxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"3,171",tt0000091,movie,N/A,N/A,N/A,N/A,True,
91,Tide Rising Over the Breakwater,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BOTFmMTU3YmMtMmVlMi00MmM1LTk5MTYtOGU5Yzk0NTAwNWJkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,11,tt0000092,movie,N/A,N/A,N/A,N/A,True,
92,Melbourne,1896,N/A,N/A,N/A,"Documentary, Short","Auguste Lumière, Louis Lumière",N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,70,tt0000093,movie,N/A,N/A,N/A,N/A,True,
93,Miss de Vere,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,Elise de Vère,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMTg1NmIzNTItMDg2MC00YTEwLThhZDAtZmY5NGVmOGMxZmU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,27,tt0000094,movie,N/A,N/A,N/A,N/A,True,
94,Le papier protée,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTNkY2UwZDMtZThhYy00Y2NkLWI4MjEtM2ZmNjkxYjAwMDQ3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,31,tt0000095,movie,N/A,N/A,N/A,N/A,True,
95,Place Saint-Augustin,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYzE1MmRiZjgtMmVmYi00MDQ2LTk2OTUtNjY5ODkyOWMzZDJkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,10,tt0000096,movie,N/A,N/A,N/A,N/A,True,
96,"Place de l'Opéra, 1er aspect",1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,"This lost film presumably features the Place de l'Opéra in Paris, France.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMDI3MWNlNDItMDU0MC00YzkzLTgyZTktYTVhM2I3MjU3NjY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,31,tt0000097,movie,N/A,N/A,N/A,N/A,True,
97,"Place de l'Opéra, 2e aspect",1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMjUxMDllMjItYTYyYi00MTc4LWI4ZjAtOTMxOWFkMGQwYzAxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,33,tt0000098,movie,N/A,N/A,N/A,N/A,True,
98,Place de la Bastille,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYTc4MWM2MGQtMGQyZS00ZDZmLWEyMTEtYzU1Y2UyMDdiMWJiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,18,tt0000099,movie,N/A,N/A,N/A,N/A,True,
99,Place de la Concorde,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BZWI3NDRiOWUtMmZmYS00ODA0LThiNTItOWIzMjAxZGMwMTI3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,47,tt0000100,movie,N/A,N/A,N/A,N/A,True,
100,Place du théâtre français,1896,N/A,N/A,N/A,"Documentary, Short",Georges Méliès,N/A,N/A,This lost film presumably shows the Place du Théâtre-Français.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYzYxNTRiNGItYzFmZC00Mjk4LWEyZTktNDY0ZTQ0ZDY0ZDc0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,25,tt0000101,movie,N/A,N/A,N/A,N/A,True,
101,The Beach at Villiers in a Gale,1896,N/A,N/A,N/A,Short,Georges Méliès,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BOTY4NzVkNGMtODMxNS00MTAwLWE4MmMtZTU3YTRlZTFmNmU5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,12,tt0000102,movie,N/A,N/A,N/A,N/A,True,
